title,attributes,rating,reviewCount,category,address,city,plusCode,website,phoneNumber,tuesday,wednesday,thursday,friday,saturday,sunday,monday,imgUrl,placeUrl,latitude,longitude
Alcatraz Island,"Notorious prison & once home to Al Capone, now a museum with audio tour, accessible by ferry.",4.7,33195,Historical place,"San Francisco, CA 94133, United States",San Francisco,"RHGG+QR Tiburon, California, USA",https://www.nps.gov/alca/index.htm,+1 415-561-4900,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP8bFo0vb5ZmrXpTRFNP6U4xX3iqiau1U4jXxnY=w408-h272-k-no,https://www.google.com/maps/place/Alcatraz+Island/data=!4m7!3m6!1s0x808580f9b38c1c99:0xd15844a27f9a58a5!8m2!3d37.8269775!4d-122.4229555!16zL20vMGg1OTQ!19sChIJmRyMs_mAhYARpViaf6JEWNE,37.8269375,-122.4229375
Lands End Lookout,"Waterfront hiking through wildflowers, with shipwreck views & access to the Sutro Baths ruins.",4.8,6988,Tourist attraction,"680 Point Lobos Ave, San Francisco, CA 94121, United States",San Francisco,"QFHQ+V9 Lincoln Park, San Francisco, CA, USA",https://store.parksconservancy.org/collections/lands-end,+1 415-426-5240,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPG9U3xrsvo0WNy2H6BnIzk2oOucoeHdx4nFvus=w426-h240-k-no,https://www.google.com/maps/place/Lands+End+Lookout/data=!4m7!3m6!1s0x808587b2b311deb9:0x30b2509be3ee7e65!8m2!3d37.7796622!4d-122.5115963!16s%2Fm%2F05f7017!19sChIJud4Rs7KHhYARZX7u45tQsjA,37.7796875,-122.5115625
San Francisco Maritime National Historical Park,"Expansive complex featuring a museum, interactive displays & ships telling the story of sea travel.",4.6,4471,National park,"San Francisco, CA 94109, United States",San Francisco,"RH5G+38 Fort Mason, San Francisco, CA, USA",https://www.nps.gov/safr/index.htm,+1 415-447-5000,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOqb_f-jwdQb8a6ND8MbQ4Np7Is-M_Js_nCvVM=w408-h306-k-no,https://www.google.com/maps/place/San+Francisco+Maritime+National+Historical+Park/data=!4m7!3m6!1s0x808580e1a8edb3ed:0xb71a9f534658cd95!8m2!3d37.807743!4d-122.42415!16zL20vMDUwZmxy!19sChIJ7bPtqOGAhYARlc1YRlOfGrc,37.8076875,-122.4241875
Golden Gate Bridge,"Famed 4,200-ft. art deco suspension bridge open to car, bike & foot traffic.",4.8,62308,Bridge,"Golden Gate Bridge, San Francisco, CA, United States",San Francisco,"RG9C+XM Sausalito, California, USA",https://www.goldengate.org/,+1 415-921-5858,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMkkRoxC1dY9_VA4HGQMlAzlVlAxbRgCo0K02v1=w408-h261-k-no,https://www.google.com/maps/place/Golden+Gate+Bridge/data=!4m7!3m6!1s0x808586deffffffc3:0xcded139783705509!8m2!3d37.8199286!4d-122.4782551!16zL20vMDM1cDM!19sChIJw____96GhYARCVVwg5cT7c0,37.8199375,-122.4783125
Madame Tussauds San Francisco,Museum chain for life-size wax replicas of famous Americans & historic icons in themed galleries.,4.3,2368,Tourist attraction,"145 Jefferson St, San Francisco, CA 94133, United States",San Francisco,"RH5P+72 Fisherman's Wharf, San Francisco, CA, USA",https://www.madametussauds.com/san-francisco/,+1 415-757-2707,Closed,Closed,12–6p.m.,12–7p.m.,12–7p.m.,12–6p.m.,12–6p.m.,https://lh5.googleusercontent.com/p/AF1QipPQrRtls6ANF5vxKYwpdVKi0b64GtINHB2Xmvdo=w408-h306-k-no,https://www.google.com/maps/place/Madame+Tussauds+San+Francisco/data=!4m7!3m6!1s0x808580e3a7ac72cb:0xd00eed5cc8061ab6!8m2!3d37.8082059!4d-122.4148825!16s%2Fg%2F11b7tl0c68!19sChIJy3Ksp-OAhYARthoGyFztDtA,37.8081875,-122.4149375
Golden Gate Park,"The city's 1,000-ac. oasis draws hikers, bikers, art lovers & music fans.",4.7,41831,Park,"San Francisco, CA, United States",San Francisco,"QG97+QG Golden Gate Park, San Francisco, CA, USA",https://sfrecpark.org/770/Golden-Gate-Park,+1 415-831-2700,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh6.googleusercontent.com/proxy/Re_uJganG3pBk9D1SDgNoBUSZxRfsvy8OftjqwO5RWQHyy1Zv0E9fATdxXdqr158SSlyY8zEnpyn7_R8cesEpFFRVwRbgbMnfMmiGaR9bOEFWpz62sQR7tF9jewXBcdYydS3hL6kKOd7J_e290lkiG-Kl2Q0rg=w408-h272-k-no,https://www.google.com/maps/place/Golden+Gate+Park/data=!4m7!3m6!1s0x808587726045f763:0x71be8b68ef3ba730!8m2!3d37.7694208!4d-122.4862138!16zL20vMDI1cHNx!19sChIJY_dFYHKHhYARMKc772iLvnE,37.7694375,-122.4861875
Muir Woods National Monument,"Scenic, forested park featuring giant redwood trees, long hiking trails, a visitor center & more.",4.8,14457,National park,"Mill Valley, CA 94941, United States",Mill Valley,"VCW9+RH Mill Valley, California, USA",nps.gov,+1 415-561-2850,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,https://lh5.googleusercontent.com/p/AF1QipOL_U2vxhdlQtnxXstSREmHNjUBqL1CJLqMwQ8z=w408-h306-k-no,https://www.google.com/maps/place/Muir+Woods+National+Monument/data=!4m7!3m6!1s0x808591b4bd6762ad:0x7aff587668ffaff9!8m2!3d37.8970199!4d-122.5811177!16zL20vMDF5dl85!19sChIJrWJnvbSRhYAR-a__aHZY_3o,37.8970625,-122.5810625
Aquarium of the Bay,"Aquarium with creatures from local waters, including otters, sharks & jellyfish, plus a touch tank.",4.2,4139,Aquarium,"PIER 39 The Embarcadero &, Beach St, San Francisco, CA 94133, United States",Beach St,"RH5R+F7 Fisherman's Wharf, San Francisco, CA, USA",https://www.aquariumofthebay.org/,+1 415-623-5300,11a.m.–6p.m.,11a.m.–6p.m.,11a.m.–6p.m.,11a.m.–6p.m.,11a.m.–6p.m.,11a.m.–6p.m.,11a.m.–6p.m.,https://lh5.googleusercontent.com/p/AF1QipP31ihsVBFc-nXCpod76ZOSWWQZp_RmhWgOXfbK=w408-h305-k-no,https://www.google.com/maps/place/Aquarium+of+the+Bay/data=!4m7!3m6!1s0x808580fc79a6a3af:0x64e4696fbd3f1ffa!8m2!3d37.8086487!4d-122.4093299!16s%2Fm%2F02rztzf!19sChIJr6OmefyAhYAR-h8_vW9p5GQ,37.8086875,-122.4093125
Fort Point National Historic Site,Fort from the Civil War era located under the Golden Gate Bridge offering cannon drills & tours.,4.7,2844,Historical place,"201 Marine Dr, San Francisco, CA 94129, United States",San Francisco,"RG6F+65 Presidio of San Francisco, San Francisco, CA, USA",nps.gov,+1 415-504-2334,Closed,Closed,Closed,10a.m.–5p.m.,10a.m.–5p.m.,10a.m.–5p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipOaEYS_eki1Uq114sN0PEKdiMyWcbX2tH85aseQ=w426-h240-k-no,https://www.google.com/maps/place/Fort+Point+National+Historic+Site/data=!4m7!3m6!1s0x808586ea2d51f4fd:0x7fed369d97026b39!8m2!3d37.8106117!4d-122.47709!16zL20vMDNqdjZq!19sChIJ_fRRLeqGhYAROWsCl5027X8,37.8105625,-122.4770625
Mission Dolores Park,Locals of all ages gather at this outdoor hot spot for picnics & people-watching.,4.7,12632,Park,"Dolores St &, 19th St, San Francisco, CA 94114, United States",San Francisco,"QH5F+W5 Mission Dolores, San Francisco, CA, USA",sfrecpark.org,+1 415-831-2700,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipNxkllLVnUQNOn4ONyMo50DP7D0hHj74e68hT2L=w408-h306-k-no,https://www.google.com/maps/place/Mission+Dolores+Park/data=!4m7!3m6!1s0x808f7e1779aa70a7:0xa618e4eff1228d60!8m2!3d37.7597704!4d-122.4271145!16zL20vMDN6eXNz!19sChIJp3CqeRd-j4ARYI0i8e_kGKY,37.7598125,-122.4270625
Transamerica Pyramid,"Tall, landmark building shaped like a narrow pyramid & housing a visitor center & a gift shop.",4.4,1017,Tourist attraction,"600 Montgomery St, San Francisco, CA 94111, United States",San Francisco,"QHWW+3V Financial District, San Francisco, CA, USA",https://www.shvo.com/portfolio/transamerica-pyramid-center/,,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,Closed,Closed,8a.m.–5p.m.,https://lh5.googleusercontent.com/p/AF1QipM87ZQVoeq-ulcRXhe8i2IgVIL56LFebnSdTKnc=w408-h541-k-no,https://www.google.com/maps/place/Transamerica+Pyramid/data=!4m7!3m6!1s0x8085808ac13be543:0x65487a1b70f0a878!8m2!3d37.7951775!4d-122.4027787!16zL20vMGdqZHI!19sChIJQ-U7wYqAhYAReKjwcBt6SGU,37.7951875,-122.4028125
Union Square,"Well-known vibrant neighborhood featuring a range of upscale shops, restaurants, hotels & nightlife.",4.4,30324,Historical landmark,"333 Post St, San Francisco, CA 94108, United States",San Francisco,"QHQR+5X Union Square, San Francisco, CA, USA",visitunionsquaresf.com,+1 415-486-4800,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNgtdleCwXG7OGt4SgN8lTq3w2mgvpWHX10BwM9=w408-h306-k-no,https://www.google.com/maps/place/Union+Square/data=!4m7!3m6!1s0x808580892df7905b:0xe36cf5789882dd6f!8m2!3d37.7879358!4d-122.4075139!16zL20vMDUwd3Fw!19sChIJW5D3LYmAhYARb92CmHj1bOM,37.7879375,-122.4075625
San Francisco Zoo,"Families come for the nearly 1,000 animals, kids' zoo, steam train, carousel & special exhibits.",4.4,11034,Zoo,"Sloat Blvd &, Upper Great Hwy, San Francisco, CA 94132, United States",San Francisco,"PFMV+7W Lakeshore, San Francisco, CA, USA",https://www.sfzoo.org/,+1 415-753-7080,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNKoAwsLxDSpTqaDH9kyy0PK_Ein1Ss97EM1DHD=w408-h544-k-no,https://www.google.com/maps/place/San+Francisco+Zoo/data=!4m7!3m6!1s0x808f7d71f302a28d:0x75fd486edbc13dd7!8m2!3d37.7331274!4d-122.5051611!16zL20vMDViNGZk!19sChIJjaIC83F9j4AR1z3B225I_XU,37.7331875,-122.5051875
Exploratorium,"Hundreds of interactive, educational exhibits & activities illustrating scientific principles.",4.7,7561,Science museum,"Pier 15 Embarcadero at, Green St, San Francisco, CA 94111, United States",San Francisco,"RJ23+M3 Northern Waterfront, San Francisco, CA, USA",https://www.exploratorium.edu/,+1 415-528-4444,10a.m.–5p.m.,10a.m.–5p.m.,"10a.m.–5p.m., 6–10p.m.",10a.m.–5p.m.,10a.m.–5p.m.,12–5p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipPjkRMfkg_dJZG9HNC0s10_-X57cMlrzs1QdcuJ=w408-h544-k-no,https://www.google.com/maps/place/Exploratorium/data=!4m7!3m6!1s0x808586d4e4e56b93:0xb239bfbb3aff1c0!8m2!3d37.8016649!4d-122.397348!16zL20vMDM0Z2pu!19sChIJk2vl5NSGhYARwPGvs_ubIws,37.8016875,-122.3973125
Legion of Honor,"4,000 years of ancient & European art in a beaux arts building overlooking the Golden Gate Bridge.",4.7,3219,Art museum,"100 34th Ave, San Francisco, CA 94121, United States",San Francisco,"QFMX+QM Lincoln Park, San Francisco, CA, USA",https://legionofhonor.famsf.org/,+1 415-750-3600,9:30a.m.–5:15p.m.,9:30a.m.–5:15p.m.,9:30a.m.–5:15p.m.,9:30a.m.–5:15p.m.,9:30a.m.–5:15p.m.,9:30a.m.–5:15p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipPeYDr4WtlFksbTNVBrCCogUZoOJM345F7isyUO=w408-h269-k-no,https://www.google.com/maps/place/Legion+of+Honor/data=!4m7!3m6!1s0x808587acd6e2ba69:0xb9ffd88c77154d2c!8m2!3d37.7844661!4d-122.5008419!16zL20vMDIxenZy!19sChIJabri1qyHhYARLE0Vd4zY_7k,37.7844375,-122.5008125
Yerba Buena Gardens,"Several gardens share space with dramatic outdoor public art pieces, including a memorial waterfall.",4.6,3753,City park,"750 Howard St, San Francisco, CA 94103, United States",San Francisco,"QHMX+X3 Yerba Buena, San Francisco, CA, USA",https://yerbabuenagardens.com/,+1 415-651-3684,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,6a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipPNoadFcGnmuU2CouQ71FDP_A2TYfsla5aUgltX=w408-h271-k-no,https://www.google.com/maps/place/Yerba+Buena+Gardens/data=!4m7!3m6!1s0x808580879c034b09:0x9426c73a3d692058!8m2!3d37.7849884!4d-122.4023514!16zL20vMDRxMTNq!19sChIJCUsDnIeAhYARWCBpPTrHJpQ,37.7849375,-122.4023125
The Painted Ladies,"Historical row of Victorian houses well-known for appearances on movies, TV shows & postcards.",4.4,19941,Historical landmark,"Steiner St &, Hayes St, San Francisco, CA 94117, United States",San Francisco,"QHG8+GV Alamo Square, San Francisco, CA, USA",,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM7U6e3wORItzHfQJajimwSk3XlmbE7EtpqZ26W=w408-h272-k-no,https://www.google.com/maps/place/The+Painted+Ladies/data=!4m7!3m6!1s0x808580a524767fb9:0x8421d0c06f9e59c5!8m2!3d37.7762528!4d-122.4327556!16zL20vMDN5dm00!19sChIJuX92JKWAhYARxVmeb8DQIYQ,37.7763125,-122.4328125
Oracle Park,"Home to the San Francisco Giants, this ballpark with bay views offers tours & hosts special events.",4.7,23931,Stadium,"24 Willie Mays Plaza, San Francisco, CA 94107, United States",San Francisco,"QJH6+C7 South Beach, San Francisco, CA, USA",https://www.mlb.com/giants/ballpark,+1 415-972-2000,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO0GrIXBhXYgywEz1YyX5NwHT2gYtrQ4vRKQAah=w408-h306-k-no,https://www.google.com/maps/place/Oracle+Park/data=!4m7!3m6!1s0x808f7fd770b93dfd:0xce4f29ed1da6117a!8m2!3d37.7785951!4d-122.3892698!16zL20vMDFfZ3Nn!19sChIJ_T25cNd_j4ARehGmHe0pT84,37.7785625,-122.3893125
The Walt Disney Family Museum,Presidio museum exploring the life of Walt Disney featuring hands-on exhibits & original artwork.,4.6,3122,Museum,"104 Montgomery St, San Francisco, CA 94129, United States",San Francisco,"RG2R+HG Main Post, San Francisco, CA, USA",https://www.waltdisney.org/,+1 415-345-6800,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMn_Bk7aZJ80y0aLg_WiUrBkOLEKvEvucPqVyNs=w408-h307-k-no,https://www.google.com/maps/place/The+Walt+Disney+Family+Museum/data=!4m7!3m6!1s0x808586d82ad9fee5:0x551f9b2e159866f5!8m2!3d37.8013783!4d-122.4586431!16s%2Fm%2F026pd0n!19sChIJ5f7ZKtiGhYAR9WaYFS6bH1U,37.8014375,-122.4586875
Lovers Point Park,"Petite beach park with swimming, surfing & other water recreation, plus kayak & bike rentals & more.",4.8,6456,Park,"631 Ocean View Blvd, Pacific Grove, CA 93950, United States",Pacific Grove,"J3GM+FF Pacific Grove, California, USA",https://www.cityofpacificgrove.org/living/recreation/parks/lovers-point-park,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipMpE4op5XUBw6Jf7r9gj_tDV1fMCmvnLGSHR81V=w408-h544-k-no,https://www.google.com/maps/place/Lovers+Point+Park/data=!4m7!3m6!1s0x808de145db4dcb25:0x48028ef2b9b860bb!8m2!3d36.6261619!4d-121.9163682!16s%2Fm%2F0bwk308!19sChIJJctN20XhjYARu2C4ufKOAkg,36.62625,-121.91625
Asilomar State Beach,"Tranquil place featuring a 1-mi. stretch of sandy beach & rocky coves, along with a walking trail.",4.8,2696,Public beach,"Sunset Dr, Pacific Grove, CA 93950, United States",Pacific Grove,"J395+66 Pacific Grove, California, USA",http://www.parks.ca.gov/?page_id=566,+1 831-646-6440,6:30a.m.–9p.m.,6:30a.m.–9p.m.,6:30a.m.–9p.m.,6:30a.m.–9p.m.,6:30a.m.–10p.m.,6:30a.m.–9p.m.,6:30a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipNvZqpnWU_kTpj8ldtMDaw-jIBKi7pz1EsKHPas=w408-h306-k-no,https://www.google.com/maps/place/Asilomar+State+Beach/data=!4m7!3m6!1s0x808de125fdd7c0f5:0xbd02e27eb1cc42b8!8m2!3d36.6180088!4d-121.9419115!16zL20vMDJkeGQw!19sChIJ9cDX_SXhjYARuELMsX7iAr0,36.6180625,-121.9419375
Point Pinos Lighthouse (1855),"Oldest continually operating lighthouse on the Pacific, offering tours of Victorian-era building.",4.5,876,Historical landmark,"80 Asilomar Ave, Pacific Grove, CA 93950, United States",Pacific Grove,"J3M8+9G Pacific Grove, California, USA",http://www.pointpinoslighthouse.org/,+1 831-648-5722,Closed,Closed,Closed,Closed,11a.m.–3p.m.,1–3p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipMHT46sabbv2ddgLwraPgCX1ZQaP5N-VrGo0WdU=w408-h306-k-no,https://www.google.com/maps/place/Point+Pinos+Lighthouse+(1855)/data=!4m7!3m6!1s0x808de14eea8185b5:0x1347eaffb9bca39a!8m2!3d36.63341!4d-121.933698!16zL20vMDZkdzU4!19sChIJtYWB6k7hjYARmqO8uf_qRxM,36.6334375,-121.9336875
Pacific Grove Museum of Natural History,"Nature museum offering exhibits on birds, insects, plants & other wildlife, plus free admission.",4.6,324,Museum,"165 Forest Ave, Pacific Grove, CA 93950, United States",Pacific Grove,"J3CM+Q4 Pacific Grove, California, USA",https://www.pgmuseum.org/,+1 831-648-5716,Closed,10a.m.–4p.m.,10a.m.–4p.m.,10a.m.–4p.m.,10a.m.–4p.m.,10a.m.–4p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipMXRse_DGjlfdZUZemy2iLVecNslXKvvV4TrITZ=w408-h306-k-no,https://www.google.com/maps/place/Pacific+Grove+Museum+of+Natural+History/data=!4m7!3m6!1s0x808de14eea8185b5:0x7421a9987704aebe!8m2!3d36.6218881!4d-121.9171814!16s%2Fm%2F02wz5hv!19sChIJtYWB6k7hjYARvq4Ed5ipIXQ,36.6219375,-121.9171875
Monterey Bay Aquarium,Well-known aquarium on a rocky coastline with exhibits ranging from otter habitats to touch pools.,4.7,32603,Aquarium,"886 Cannery Row, Monterey, CA 93940, United States",Monterey,"J39X+87 Monterey, California, USA",https://www.montereybayaquarium.org/,+1 831-648-4800,10a.m.–5p.m.,10a.m.–5p.m.,10a.m.–5p.m.,10a.m.–6p.m.,10a.m.–6p.m.,10a.m.–6p.m.,10a.m.–5p.m.,https://lh5.googleusercontent.com/p/AF1QipMmyp9eWniEIKyjpgDQU9C1UeCM_AmZExtuAyMG=w408-h306-k-no,https://www.google.com/maps/place/Monterey+Bay+Aquarium/data=!4m7!3m6!1s0x808de6aa8166e4e3:0xb5a84a1997229b63!8m2!3d36.618264!4d-121.9017919!16zL20vMG01NWg!19sChIJ4-RmgarmjYARY5silxlKqLU,36.6183125,-121.9018125
Monarch Butterfly Sanctuary,"Preserve with pine, cypress & eucalyptus trees sheltering thousands of monarch butterflies Oct–Mar.",4.4,1286,Nature preserve,"250 Ridge Rd, Pacific Grove, CA 93950, United States",Pacific Grove,"J3G9+HP Pacific Grove, California, USA",http://www.cityofpacificgrove.org/visiting/monarch-butterfly-sanctuary,+1 831-648-5716,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,https://lh5.googleusercontent.com/p/AF1QipM9BB2ErkPtd8FkuBjKE__Aj6BdKnEEC_UG1c1C=w408-h306-k-no,https://www.google.com/maps/place/Monarch+Butterfly+Sanctuary/data=!4m7!3m6!1s0x808de139565eed31:0x6a9de3088ea89239!8m2!3d36.6264391!4d-121.9307112!16s%2Fg%2F11h1k4ql5!19sChIJMe1eVjnhjYAROZKojgjjnWo,36.6264375,-121.9306875
Old Fisherman's Wharf,"Iconic waterside complex & event site featuring seafood eateries, shops & water-sports activities.",4.5,13761,Tourist attraction,"1 Old Fisherman’s Wharf, Monterey, CA 93940, United States",Monterey,"J434+GM Monterey, California, USA",https://www.montereywharf.com/,+1 831-238-0777,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipP17IWM8Kg0bJfA3JUSTnTAqSne2oPtPepDo1B3=w408-h271-k-no,https://www.google.com/maps/place/Old+Fisherman's+Wharf/data=!4m7!3m6!1s0x808de41880edf8cd:0xdc0b163254a641c7!8m2!3d36.6037963!4d-121.8933703!16zL20vMGM4cjk2!19sChIJzfjtgBjkjYARx0GmVDIWC9w,36.6038125,-121.8933125
