title,attributes,rating,reviewCount,category,address,city,plusCode,website,phoneNumber,tuesday,wednesday,thursday,friday,saturday,sunday,monday,imgUrl,placeUrl,latitude,longitude
Westfield Valley Fair,,4.3,10063,Shopping Centre,"2855 Stevens Creek Blvd, Santa Clara, CA 95050, United States",Santa Clara,"83G3+4Q Santa Clara, California, USA",westfield.com,+1 408-248-4450,11am–9pm,11am–9pm,11am–9pm,10am–9pm,10am–9pm,11am–8pm,11am–9pm,https://lh5.googleusercontent.com/p/AF1QipOmGSmH-RbU6MevscqJ91SiWnjVqaljVnmrGkHC=w426-h240-k-no,https://www.google.com/maps/place/Westfield+Valley+Fair/data=!4m7!3m6!1s0x808fcb1e50555555:0xcb5743551cf8265f!8m2!3d37.3252679!4d-121.9455308!16zL20vMDlwOXo4!19sChIJVVVVUB7Lj4ARXyb4HFVDV8s,37.3253125,-121.9455625
Eastridge,"Large mall featuring department & specialty shops & services, plus a food court & multiplex theater.",4.2,9752,Shopping Centre,"2200 Eastridge Loop, San Jose, CA 95122, United States",San Jose,"85GP+7C San Jose, California, USA",eastridgecenter.com,+1 408-238-3600,10am–8pm,10am–8pm,10am–8pm,10am–9pm,10am–9pm,11am–7pm,10am–8pm,https://lh5.googleusercontent.com/p/AF1QipOeJ1tvQmWEnuWe6jVyYmFR-dmNnRbBOdWT8X_U=w408-h306-k-no,https://www.google.com/maps/place/Eastridge/data=!4m7!3m6!1s0x808e32a0437cc2d5:0x76b61ebfce707a78!8m2!3d37.3256289!4d-121.8139115!16s%2Fm%2F04g1whz!19sChIJ1cJ8Q6AyjoAReHpwzr8etnY,37.3256875,-121.8139375
Westgate Center,"Standard retail mall with department & discount stores, specialty shops & casual food options.",4.2,4478,Shopping Centre,"1600 Saratoga Ave, San Jose, CA 95129, United States",San Jose,"72R6+XF San Jose, California, USA",https://shopwestgatecenter.com/,+1 408-639-8424,10am–9pm,10am–9pm,10am–9pm,10am–9pm,10am–9pm,11am–7pm,10am–9pm,https://lh5.googleusercontent.com/p/AF1QipMpLL8oaA9D2NL-NTbvrrrsRPh6jIWm8zsTg0AQ=w408-h306-k-no,https://www.google.com/maps/place/Westgate+Center/data=!4m7!3m6!1s0x808fb5567daa06c5:0xd495b63c1e4d001b!8m2!3d37.2923806!4d-121.9887833!16zL20vMGc4X2Ni!19sChIJxQaqfVa1j4ARGwBNHjy2ldQ,37.2924375,-121.9888125
Westfield Oakridge,·  Dine-in  ·  Takeaway  ·  Delivery,4.3,9590,Shopping Centre,"925 Blossom Hill Rd, San Jose, CA 95123, United States",San Jose,"742Q+F2 San Jose, California, USA",westfield.com,+1 408-578-2912,10am–8pm,10am–8pm,10am–8pm,10am–9pm,10am–9pm,11am–8pm,10am–8pm,https://lh5.googleusercontent.com/p/AF1QipPXGPofZPiekro87OdvE9BXr02ll9QwkBrCIhT-=w408-h306-k-no,https://www.google.com/maps/place/Westfield+Oakridge/data=!4m7!3m6!1s0x808e33d5e09d498d:0x961c6b86bfa321fc!8m2!3d37.2512044!4d-121.8624553!16zL20vMGc5NHFn!19sChIJjUmd4NUzjoAR_CGjv4ZrHJY,37.2511875,-121.8624375
Grand Century Shopping Mall,"Asian-oriented mall & food court with a collection of eateries & shops, from electronics to jewelry.",4,1422,Shopping Centre,"1111 Story Rd, San Jose, CA 95122, United States",San Jose,"84MV+97 San Jose, California, USA",,+1 408-295-3175,9am–9pm,9am–9pm,9am–9pm,9am–9pm,9am–9pm,9am–9pm,9am–9pm,https://lh5.googleusercontent.com/p/AF1QipO7IPKuk-zsxrer3YTazITl3hnaidQETNTl1Jjo=w408-h306-k-no,https://www.google.com/maps/place/Grand+Century+Shopping+Mall/data=!4m7!3m6!1s0x808fcd2aefb35ccd:0xc3e47b8852ce6bb8!8m2!3d37.3334333!4d-121.8568278!16s%2Fg%2F1v9409bh!19sChIJzVyz7yrNj4ARuGvOUoh75MM,37.3334375,-121.8568125
San José Market Center,"Outdoor shopping plaza featuring a variety of retailers, casual restaurants & grocery stores.",4.3,3458,Shopping Centre,"543 Coleman Ave, San Jose, CA 95110, United States",San Jose,"83QV+V5 San Jose, California, USA",,,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm,https://lh5.googleusercontent.com/p/AF1QipMf8DZp8-BMSXdACjjHu0fP5TnCPy6X_DN0a46Q=w408-h306-k-no,https://www.google.com/maps/place/San+Jos%C3%A9+Market+Center/data=!4m7!3m6!1s0x808fcb63f0a908d5:0x31a78ccdf231d378!8m2!3d37.3396859!4d-121.9071247!16s%2Fg%2F1td3g7yp!19sChIJ1Qip8GPLj4AReNMx8s2MpzE,37.3396875,-121.9070625
Capitol Square Mall,,4.2,2376,Shopping Centre,"352 N Capitol Ave, San Jose, CA 95133, United States",San Jose,"95F4+4C San Jose, California, USA",,,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,https://lh5.googleusercontent.com/p/AF1QipPe9nT8zM32UmJXYKO8OLz3eMEmf9k3m1rzrhGQ=w426-h240-k-no,https://www.google.com/maps/place/Capitol+Square+Mall/data=!4m7!3m6!1s0x808fcda7ee3e3ad9:0x3720186d3754a03!8m2!3d37.3728729!4d-121.8439455!16s%2Fg%2F1tdn4b6k!19sChIJ2To-7qfNj4ARA0p104YBcgM,37.3728125,-121.8439375
Plant Shopping Center,"Sizable complex including a variety of stores, services & casual food options.",4.2,4792,Shopping Centre,"1 Curtner Ave, San Jose, CA 95125, United States",San Jose,"843M+5V San Jose, California, USA",,,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,8am–10pm,https://lh5.googleusercontent.com/p/AF1QipN8pUYF-BXj925D6g1iDy4R2MI2Gnctl6JWrLAn=w561-h240-k-no,https://www.google.com/maps/place/Plant+Shopping+Center/data=!4m7!3m6!1s0x808e331951cf7f5d:0x6f2f0ce47af81546!8m2!3d37.3029231!4d-121.8652547!16s%2Fg%2F1tcwrc8_!19sChIJXX_PURkzjoARRhX4euQML28,37.3029375,-121.8653125
Princeton Plaza Mall,,4.1,854,Shopping Centre,"1375 Blossom Hill Rd, San Jose, CA 95118, United States",San Jose,"64W5+6R San Jose, California, USA",pancal.com,+1 408-248-6600,7am–9pm,7am–9pm,7am–9pm,7am–9pm,7am–9pm,7am–9pm,7am–9pm,https://lh5.googleusercontent.com/p/AF1QipO3AXoZZ1DU65DP7BBpb8L9tO36I_s-JJa-ywmr=w426-h240-k-no,https://www.google.com/maps/place/Princeton+Plaza+Mall/data=!4m7!3m6!1s0x808e33e2d061532d:0xcd5088353dbda3d5!8m2!3d37.2455576!4d-121.8904555!16s%2Fg%2F11bw7d05lv!19sChIJLVNh0OIzjoAR1aO9PTWIUM0,37.2455625,-121.8904375
Plaza de San José,,4.4,701,Shopping Centre,"1760 Story Rd, San Jose, CA 95122, United States",San Jose,"85Q5+M9 San Jose, California, USA",,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPZ-CmJstITMf9U8q1y2n6YNFtcVxDaXKCIj6kB=w408-h860-k-no,https://www.google.com/maps/place/Plaza+de+San+Jos%C3%A9/data=!4m7!3m6!1s0x808fcd33d6f04049:0x1df8da182894025!8m2!3d37.3391362!4d-121.8415444!16s%2Fg%2F11h5mpgmgx!19sChIJSUDw1jPNj4ARJUCJgqGN3wE,37.3391875,-121.8415625
North Park Plaza,,4.2,784,Shopping Centre,"1712 E Brokaw Rd #1702, San Jose, CA 95131, United States",San Jose,"94M4+82 San Jose, California, USA",,,9am–9pm,9am–9pm,9am–9pm,9am–9pm,9am–9pm,9am–9pm,9am–9pm,https://lh5.googleusercontent.com/p/AF1QipPXVL7uQPcmAz5ON_2IO9ZpVQBIe8NMgbD5ol64=w408-h324-k-no,https://www.google.com/maps/place/North+Park+Plaza/data=!4m7!3m6!1s0x808fcc0f20aa61df:0xcb6ac19723299eb!8m2!3d37.3833056!4d-121.8949944!16s%2Fg%2F11c43s860h!19sChIJ32GqIA_Mj4AR65kychmstgw,37.3833125,-121.8949375
Santana Row,"Upscale collection of shops, bars & restaurants, with outdoor seating & frequent live music.",4.5,14171,Shopping Centre,"377 Santana Row, San Jose, CA 95128, United States",San Jose,"8392+XM San Jose, California, USA",http://www.santanarow.com/,+1 408-551-4611,10am–9pm,10am–9pm,10am–9pm,10am–9pm,11am–9pm,11am–7pm,10am–9pm,https://lh5.googleusercontent.com/p/AF1QipNilzaynaFJh28nSPbUdXUZAHvBRYl0rctT3SMr=w408-h306-k-no,https://www.google.com/maps/place/Santana+Row/data=!4m7!3m6!1s0x808fcb207b07b429:0xa3792edc2d5f8e0d!8m2!3d37.3198912!4d-121.9483443!16zL20vMDcycDY3!19sChIJKbQHeyDLj4ARDY5fLdwueaM,37.3199375,-121.9483125
West Park Plaza,"Enduring shopping plaza offering a laundromat, pharmacy, casual chain eateries & standard services.",4.2,727,Shopping Centre,"1303 S Winchester Blvd, San Jose, CA 95128, United States",San Jose,"822X+6G San Jose, California, USA",https://www.regencycenters.com/property/detail/630/WestParkPlaza,+1 925-279-1800,6am–11pm,6am–11pm,6am–11pm,6am–11pm,6am–11pm,6am–11pm,6am–11pm,https://lh5.googleusercontent.com/p/AF1QipPKZPm7ji4SqOgW-LGV2qUXDuJXD_jQoGFaHrtD=w408-h306-k-no,https://www.google.com/maps/place/West+Park+Plaza/data=!4m7!3m6!1s0x808e352b3c3a139b:0x69cdba6c9365b351!8m2!3d37.3006017!4d-121.9511931!16s%2Fg%2F1tgqjnfy!19sChIJmxM6PCs1joARUbNlk2y6zWk,37.3005625,-121.9511875
Mall san jose,,,,Shopping Centre,"Story &, McLaughlin Ave, San Jose, CA 95122, United States",San Jose,"84MW+4P San Jose, California, USA",,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xodsaj65n5n13SHgyx4Etg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=64.92913&pitch=0&thumbfov=100,https://www.google.com/maps/place/Mall+san+jose/data=!4m7!3m6!1s0x808fcdf17f25dcfd:0x8a7b094861980ad4!8m2!3d37.3328257!4d-121.8532218!16s%2Fg%2F11jdpc_7qt!19sChIJ_dwlf_HNj4AR1AqYYUgJe4o,37.3328125,-121.8531875
Foxworthy Shopping Center,,4.3,432,Shopping Centre,"1445 Foxworthy Ave, San Jose, CA 95118, United States",San Jose,"74G5+23 San Jose, California, USA",,+1 408-264-5781,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm,https://lh5.googleusercontent.com/p/AF1QipOQODH06zvnBXK6LpzcS0EyNJhE4BU21nxFer0M=w408-h271-k-no,https://www.google.com/maps/place/Foxworthy+Shopping+Center/data=!4m7!3m6!1s0x808e338487cb1cb5:0x7cbd460bcae50d89!8m2!3d37.2751221!4d-121.8923553!16s%2Fg%2F11bccjn61f!19sChIJtRzLh4QzjoARiQ3lygtGvXw,37.2750625,-121.8923125
Redwood plaza,,4.5,18,Shopping Centre,"San Jose, CA 95120, United States",San Jose,"64HH+V7 San Jose, California, USA",,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOx_ZgxxHALrQOw4gGV5sUTEIPDsV4oPRe8kJk6=w408-h306-k-no,https://www.google.com/maps/place/Redwood+plaza/data=!4m7!3m6!1s0x808e316cc80dddeb:0xc4f99c4110bd4763!8m2!3d37.229689!4d-121.8718472!16s%2Fg%2F11fp8w9rmt!19sChIJ690NyGwxjoARY0e9EEGc-cQ,37.2296875,-121.8718125
Westfield Century City,,4.5,11421,Shopping mall,"10250 Santa Monica Blvd, Los Angeles, CA 90067, United States",Los Angeles,"3H5J+F9 Los Angeles, California, USA",https://www.westfield.com/centurycity,+1 310-277-3898,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,11a.m.–8p.m.,10a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipM-bz4SumMFlJzFTRIAeg94amWHxpMRy58W3yGi=w427-h240-k-no,https://www.google.com/maps/place/Westfield+Century+City/data=!4m7!3m6!1s0x80c2bb8cf4aac185:0x9d11acb5cb57c5b3!8m2!3d34.0586592!4d-118.4190309!16zL20vMGc5eGQx!19sChIJhcGq9Iy7woARs8VXy7WsEZ0,34.0586875,-118.4190625
